norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
59522,STARLINK-31453,PAYLOAD,Starlink Gen 1,483.0395200938847,Very Low LEO,LEO-Equatorial,HIGH,43.0003,7.093e-05,2023,0,<1yr,15.27583198,2025-11-11 05:57:47.857248,celestrak,2025-11-11,US,2025-11-11
59523,STARLINK-31476,PAYLOAD,Starlink Gen 1,483.0373971010522,Very Low LEO,LEO-Equatorial,HIGH,42.9985,3.21e-05,2023,0,<1yr,15.27583907,2025-11-11 06:33:15.081408,celestrak,2025-11-11,US,2025-11-11
59525,STARLINK-31538,PAYLOAD,Starlink Gen 1,483.00282458853326,Very Low LEO,LEO-Equatorial,HIGH,43.0007,9.421e-05,2023,0,<1yr,15.27595453,2025-11-11 05:56:14.220384,celestrak,2025-11-11,US,2025-11-11
59526,STARLINK-31564,PAYLOAD,Starlink Gen 1,482.9970575549496,Very Low LEO,LEO-Equatorial,HIGH,43.0024,0.00011104,2023,0,<1yr,15.27597379,2025-11-11 05:45:07.075872,celestrak,2025-11-11,US,2025-11-11
59527,STARLINK-31452,PAYLOAD,Starlink Gen 1,483.04913796069013,Very Low LEO,LEO-Equatorial,HIGH,43.0038,0.00016521,2023,0,<1yr,15.27579986,2025-11-11 06:48:02.232288,celestrak,2025-11-11,US,2025-11-11
59528,STARLINK-31618,PAYLOAD,Starlink Gen 1,318.18602416369686,Very Low LEO,LEO-Equatorial,MEDIUM,42.9832,0.00249832,2023,0,<1yr,15.84339204,2025-11-11 08:00:03.000384,celestrak,2025-11-11,US,2025-11-11
59529,STARLINK-31513,PAYLOAD,Starlink Gen 1,482.9821130295077,Very Low LEO,LEO-Equatorial,HIGH,42.9996,8.509e-05,2023,0,<1yr,15.2760237,2025-11-11 06:45:01.523232,celestrak,2025-11-11,US,2025-11-11
59530,STARLINK-31392,PAYLOAD,Starlink Gen 1,482.9948657260502,Very Low LEO,LEO-Equatorial,HIGH,43.0009,0.00011826,2023,0,<1yr,15.27598111,2025-11-11 06:22:08.063040,celestrak,2025-11-11,US,2025-11-11
59531,STARLINK-31619,PAYLOAD,Starlink Gen 1,483.0358999279688,Very Low LEO,LEO-Equatorial,HIGH,43.0008,2.234e-05,2023,0,<1yr,15.27584407,2025-11-11 06:01:47.037504,celestrak,2025-11-11,US,2025-11-11
59533,STARLINK-31509,PAYLOAD,Starlink Gen 1,482.94357683065937,Very Low LEO,LEO-Equatorial,HIGH,43.0007,7.728e-05,2023,0,<1yr,15.2761524,2025-11-11 06:59:07.925280,celestrak,2025-11-11,US,2025-11-11
59534,STARLINK-31734,PAYLOAD,Starlink Gen 1,483.04366427644436,Very Low LEO,LEO-Equatorial,HIGH,43.0041,0.00013265,2023,0,<1yr,15.27581814,2025-11-11 07:07:33.002400,celestrak,2025-11-11,US,2025-11-11
59535,STARLINK-31738,PAYLOAD,Starlink Gen 1,483.09682954349864,Very Low LEO,LEO-Equatorial,HIGH,43.0012,0.00012673,2023,0,<1yr,15.27564059,2025-11-10 23:41:15.191232,celestrak,2025-11-11,US,2025-11-11
59536,STARLINK-31721,PAYLOAD,Starlink Gen 1,483.00776220895204,Very Low LEO,LEO-Equatorial,HIGH,42.9998,2.356e-05,2023,0,<1yr,15.27593804,2025-11-11 06:00:53.019360,celestrak,2025-11-11,US,2025-11-11
59537,STARLINK-31737,PAYLOAD,Starlink Gen 1,482.9190540767622,Very Low LEO,LEO-Equatorial,HIGH,43.0029,0.00012321,2023,0,<1yr,15.2762343,2025-11-11 06:21:15.189696,celestrak,2025-11-11,US,2025-11-11
59538,STARLINK-31725,PAYLOAD,Starlink Gen 1,483.05134181038284,Very Low LEO,LEO-Equatorial,HIGH,43.0015,0.00010084,2023,0,<1yr,15.2757925,2025-11-11 06:28:48.785376,celestrak,2025-11-11,US,2025-11-11
59539,STARLINK-31539,PAYLOAD,Starlink Gen 1,483.02507838520614,Very Low LEO,LEO-Equatorial,HIGH,43.006,0.00017125,2023,0,<1yr,15.27588021,2025-11-11 00:21:16.835616,celestrak,2025-11-11,US,2025-11-11
59540,STARLINK-31397,PAYLOAD,Starlink Gen 1,483.0609956510898,Very Low LEO,LEO-Equatorial,HIGH,43.0038,0.00012351,2023,0,<1yr,15.27576026,2025-11-11 00:41:38.414976,celestrak,2025-11-11,US,2025-11-11
59541,STARLINK-31481,PAYLOAD,Starlink Gen 1,483.0658674998476,Very Low LEO,LEO-Equatorial,HIGH,42.9999,7.684e-05,2023,0,<1yr,15.27574399,2025-11-11 07:14:42.896832,celestrak,2025-11-11,US,2025-11-11
59542,STARLINK-31540,PAYLOAD,Starlink Gen 1,483.06936493563444,Very Low LEO,LEO-Equatorial,HIGH,43.0028,0.00011801,2023,0,<1yr,15.27573231,2025-11-10 23:49:50.311488,celestrak,2025-11-11,US,2025-11-11
59543,STARLINK-31574,PAYLOAD,Starlink Gen 1,483.03846907748084,Very Low LEO,LEO-Equatorial,HIGH,43.006,0.00011034,2023,0,<1yr,15.27583549,2025-11-11 00:26:50.450208,celestrak,2025-11-11,US,2025-11-11
59544,STARLINK-31556,PAYLOAD,Starlink Gen 1,483.01510427829726,Very Low LEO,LEO-Equatorial,HIGH,43.0043,0.00010819,2023,0,<1yr,15.27591352,2025-11-11 06:47:08.701440,celestrak,2025-11-11,US,2025-11-11
